time,personID,problemID,1st,1st_reason,1st_label_katori,1st_label_yamamoto,1st_check,2nd,2nd_reason,2nd_label_katori,2nd_label_yamamoto,2nd_check,3rd,3rd_reason,3rd_label_katori,3rd_label_yamamoto,3rd_check,others,understanding,free
12/14/2022 13:48:48,6,2,29,セグメントツリーにおいて最も複雑な、区間和を再帰的に計算する部分だから。,12,12,,21,セグメントツリーにおける更新部分の根幹となる行だから。1 番でないのは、区間和計算ほど複雑ではないから。,9,9,,17,うっかり忘れそうな処理だから。1 番や 2 番と比べると、瑣末な番号合わせだと言える。,3,3,,,とても理解できた。,
12/15/2022 11:00:22,2,2,29,問題のクエリに答える部分である、区間和を求める計算のメインがこの部分であるから。,12,12,,21,問題に答える部分ではないが、問題の指示として出てくる配列の一点更新を行う計算のメインがこの部分であるから。,12,12,,14,問題を答えるわけでもなく、問題の指示として陽に出ているわけでもないが、これからの計算をするうえでの準備をしている行であるから。,13,13,,,まあ理解できた。,
12/15/2022 19:24:06,9,2,29,セグメント木における一番大事な要素は、区間和の計算方法であり、中でも左半分の区間の結果と右半分の区間の結果をマージすることを再帰的に繰り返すことで出来る、ということが最も大事な要素と考えている。29行目はまさしくこのことを表している行であるから。,5,5,,27,区間和の計算において、今見ている区間が求めるべき区間にすべて含まれる場合は今見ている区間の結果をそのまま返す、ということが計算量削減のために重要であるから。ただし、このことは左半分の結果と右半分の結果をマージする、ということが前提となっているため、あくまで1番ではないという立ち位置でいる。,4,4,,21,セグメント木においては一点更新の仕方が区間和の処理の仕方の次に重要なポイントであると考えており、21行目はまさしく一点更新の仕方を言い表しているから。,9,9,,3～6行目。セグメント木のサイズを2のべき乗にするという処理を行っている行であるため。,とても理解できた。,
12/17/2022 21:36:45,8,2,7,問題を解くためにセグメント木というデータ構造を使う、というのがよく表れているから。,2,2,,21,セグメント木を作るための計算をしているところだから。セグメント木を使う、というアイデアの方が重要だと思ったので2番とした。,12,12,,29,部分和を求めるために再帰を用いるというのが重要だと思った。木を作る方が大切だと思ったので3番とした。,5,5,,,まあ理解できた。,
12/20/2022 23:47:18,4,2,29,セグメント木の性質を利用して再起的にgetSumを求める関数を呼び出している部分だから。,5,5,,21,セグメント木を更新している部分だから。ただそれほど複雑な処理ではないため。,9,9,,1,まずこの問題をセグメント木を使って解こうとする発想が重要だから。ただ重要な処理をしている訳ではない。,2,2,,,とても理解できた。,
12/28/2022 12:52:42,5,2,37,SegmentTreeの典型問題であるため、「SegmentTree」という表記が登場し、セグ木を使用することが最もわかりやすい37行目を選んだ。,2,2,,42,セグ木の一点更新クエリの仕様について、どのように入力すればよいかがわかりやすいから,1,1,,44,セグ木の区間加算クエリの仕様について、どのように入力すればよいかがわかりやすいから。関数名が直感的であるため区間加算よりは重要度が低いと考えた。,1,1,,,まあ理解できた。,"回答とは関係ないのですが、ans01,02のようにしていただけると辞書順になるのでソートが楽になるため、次回以降同様の実験をされる際は変更していただけると嬉しいなと思いました"
12/30/2022 16:48:57,10,2,29,セグメント木の性質や再帰を使っているところが非常に重要だと思いました。,5,5,,21,addもセグメント木の性質を使っていて、重要だと思いました。1番ではないのは、29行目の方が難しいと思ったため。,13,13,,24,cur_r <= x or y <= cur_lのような場合分けは、忘れやすいと感じたため。1番2番ほど難しくはないのかなと思ったため。,3,3,,,まあ理解できた。,
1/2/2023 22:11:58,11,2,7,問題設定よりセグ木を使うことことで解答可能だと判断できる．セグ木のデータ構造を作成している行だから．,2,2,,21,ツリー上で列の和を管理するデータ構造の要となる処理をしているところだと考えました．,14,14,,29,合計の値を取得する操作をしている箇所で，これも2番目に選んだ箇所と同様，データ構造特有の操作であるから．2番目と同列に考えています．2番目が一つしか選べなかったので3番目になりました．,14,14,,,とても理解できた。,
12/8/2022 21:19:11,1,3,5,"
各要素について出現回数を記録するという計数ソートのアルゴリズムの発想を端的に表した一行だと考えたため．1番目とした．",9,9,,11,各要素の出現回数に応じてソートされる配列を更新する部分であり，計数ソートの核となる発想であると考えたが，5行目のカウンターの初期化部分の方がより本質的と考え，2番目とした．,9,9,,13,各要素の出現回数に応じてソートされる配列のインデックスを適切に設定する部分であり，アルゴリズムの本質ではないが，ミスが起こりやすい部分だと考えたため3番とした．,3,3,,,とても理解できた。,
12/10/2022 23:49:48,3,3,12,バケツソートでどこが重要かは難しいところだがしいて言えば計数後に順番に配列をつくるところ、かもしれないから。,9,9,,13,数後に順番に配列をつくるところでまあインデックス管理も重要かな、と思ったから。,9,14,×,7,計数しているところもしいて言えば重要かもしれないと思ったから。,12,12,,,とても理解できた。,
12/13/2022 21:26:16,7,3,12,返す配列のindexを持ち，indexをインクリメントしながら最終的な配列を更新していくことで，問題文の疑似コード部分の「C[i] に i 以下の数の出現数を記録する」操作が必要ないということが分かるから．,9,9,,11,"配列の要素を一回一回書き換えるのではなく，for文であらかじめ決められた回数繰り返して同じ数を代入すればよいということが分かる．
1番でない理由としては，indexという変数をつかっているおかげで実現できるから．",9,9,,7,"問題文の疑似コードでの「 C[i] に i の出現数を記録する 」という操作を実行している部分にあたるから．
3番である理由は，ほとんど疑似コード通りであることから．",9,9,,,まあ理解できた。,
12/14/2022 13:55:02,6,3,10,度数分布表を左から見る、というのが計数ソートにおけるソートの部分だから。,10,10,,7,計数ソートに必要な度数分布表を計算する根幹の部分だから。1 番ではないのは、あくまで前処理の意味合いが強いから。,12,12,,11,出現回数分だけソート結果に入ることを表す行だから。1 番や 2 番と比べると、ソートという文脈からは遠いと言える。,9,13,×,,とても理解できた。,
12/15/2022 11:09:03,2,3,10,計数ソートの重要なアイデアとして、同じ数字をまとめて処理する、という部分があり、そのまとまて処理している部分であるから。,14,14,,7,計数ソートというアルゴリズムの通り、数を数えて行うソートだが、その計数の部分を行っている行であるから。,12,12,,12,複雑ではないが、計数ソートの答えを求めている部分であるから。,14,14,,,とても理解できた。,
12/15/2022 20:01:50,9,3,7,計数ソートのエッセンスは、「何の要素が何個ある」という配列を組み立てる部分だと考えており、7行目はそれを言い表したものだと言えるから。,14,14,,12,12行目の処理は配列に計数ソートの結果を小さい順に並べる部分の処理であり、この処理は結果を正しく返す上では大事であるから。アルゴリズムの中心の部分ではないため、この部分は2番目に重要である。,14,14,,13,インデックスを1ずつ進める箇所も、アルゴリズムを正しく動作させるという処理の一部分では重要であるから。あくまでアルゴリズムの本質の部分ではなく、処理の一部分にすぎないため、この部分は3番目に重要であると考えている。,10,14,×,,とても理解できた。,どこが大事な箇所なのかは比較的早い段階で思いつくのですが、その中での順位付けをするのが大変だと感じます。
12/17/2022 21:43:15,8,3,12,計数ソートを昇順で作成する際に、その配列を１つずつ埋めていくという最も本質的な処理だから。,9,9,,13,上と同じような理由だが、インデックスを進めていかないと正しく配列が作成できないから。計数ソートの本質は12行目の方だと思ったので2番にした,10,14,×,7,計数ソートを作るために、登場する数字をカウントするという大事なところだから。簡単なので3番とした。,12,12,,,とても理解できた。,
12/21/2022 11:16:37,4,3,11,countリストを順番に見ていくという操作がこのソーティングアルゴリズムの本質だから。,10,10,,12,答えを表すリストに何を詰めるのかを決めている部分だから。ただ処理としては単純。,9,14,×,7,このソーティングアルゴリズムで重要になるcountリストの中身を決めているため。ただ数え上げているだけではある。,12,12,,,とても理解できた。,
12/28/2022 12:59:36,5,3,5,計数ソートの根本的な考え方である、巨大な配列を用意している部分だから,6,6,,7,計数ソートで実際にどのように配列を更新しているかがわかりやすいから,9,9,,11,バケットに格納された数だけarrayにpushするという考え方が現れているから,11,11,,10:計数ソートの計算量がO(n+k)であることを表している行だと思うから,とても理解できた。,
12/30/2022 17:00:00,10,3,12,結果となる配列に値を代入している行で、計数ソートを一番よく表している行だと思ったため。,9,9,,7,count[i] に i の出現数を記録して、カウンタ配列を作ることは1番ほど難しくないが、重要だと思ったため。,9,9,,11,"出現回数分繰り返すことは、1,2番ほど難しくないが重要だと思ったため。",10,10,,,まあ理解できた。,
1/2/2023 22:48:08,11,3,5,ありえる要素の値がインデックスとなった計数のための場所をあらかじめ確保しておくことがこのソートの要だと考えたから,6,6,,12,要素の値が小さいほうからソートした配列が格納されるリストにいれている行だから．計数しているところではないので2番目にしました．,13,13,,9,インデックスを動かしていく変数をもつのもコードのわかりやすさのために大事かなと思いました．別の書き方もでき，計数ソートの本質ではないので，3番目になりました．,1,1,,,とても理解できた。,
12/8/2022 21:29:43,1,4,19,二分探索木の構築において，ある要素Aの左部分木の要素は全てAより小さいという制約を表現しており，24行目も同様に導かれるため，最も重要だと考えた．,14,14,,32,中間順巡回のアルゴリズムを表す上で重要だと考え選択した．木の構築の方が本質的であることから2番目とした．,13,13,,38,行きがけ順のアルゴリズムを表す上で重要だと考え選択した．木の構築の方が本質的であること，行きがけ順ではソートされた列が選ばれないことから2番目とした．,13,13,,,とても理解できた。,
12/11/2022 0:34:39,3,4,18,この問題のコアは二分探索木というデータ構造そのものだと思うのですが、二分探索木で一番大事なのはまあここのwhileだけでinsert or  検索位置がわかることかなと思ったからです。,13,13,,30,問題に効率よくこたえるためには不可欠なメソッドだから。逆に言えばコアな部分ではない。,4,4,,36,問題に効率よくこたえるためには不可欠なメソッドだから。逆に言えばコアな部分ではない。,4,4,,,とても理解できた。,
12/13/2022 21:34:08,7,4,32,中間順巡回においては先に各ノードより左に位置するノードを見るということが重要であり，それがここで現れているから．,10,10,,38,"先行順巡回では先に自分自身のノードを見てからその子のノードへと移っていくことがこの行で現れているから．
1番でない理由は，中間順巡回に比べてこちらの方が直感的だと思ったから．",10,10,,12,"疑似コードで触れられている二分木のinsertを実際に実装している部分だから．
3番である理由は，この問題では中間順巡回，先行順巡回でのノードの巡り方のアルゴリズムの違いが問われており，ここは本質ではないと思ったから．",13,13,,,まあ理解できた。,
12/14/2022 14:07:06,6,4,33,出力がこの位置にあることで in order トラバーサルとなっているから。,14,14,,38,出力がこの位置にあることで pre order トラバーサルとなっているから。重要度は 1 番と大して変わらないが、こちらの方が若干自明な気もする。,14,14,,21,二分探索木構築において最も重要な、新たなノードを生成している部分だから。1 番や 2 番ではないのは、これは二分探索木における一般的な処理であり、本問はトラバーサルの部分の方を問われているから。,11,11,,26。21 行目と同様に重要,とても理解できた。,
12/15/2022 11:14:47,2,4,19,データ構造の重要な部分であるinsertにおいて、値が現在のノードより小さいときは左に入れる、という処理を行なっている部分であるから。,11,11,,24,データ構造の重要な部分であるinsertにおいて、値が現在のノードより大きいときは右に入れる、という処理を行なっている部分であるから。19行目より後に出てきているので、こちらを2番にした。,11,11,,14,insertする本質とは関係ないが、実際にはこれがないと一番最初にエラーが起きてしまうので、そのコーナーケースを処理する部分として重要であると考える。,3,3,,,まあ理解できた。,
12/15/2022 20:46:05,9,4,19,いま見ているノードよりも値が小さいときには左のノードに進むことを表す処理を表す箇所であり、二分探索木の作り方を分岐によって表現する点で重要であると考えている。,10,8,×,21,二分探索木に値をセットするところであり、左のノードに進んだときに値が存在しなければそこに置く、という処理を表す箇所であり、二分探索木の進む方向を決めた後の処理を表現している点で、進む方向を決める処理の次に重要であると考えている。,9,9,,32,二分探索木の巡回を、再帰によって行うことを表しているから。この問題では二分探索木の構成が本質であると考えているため、先述の2つよりは重要度は低いと考えている。,5,5,,"15行目。二分探索木に値がまだ入っていないときの処理を、別途場合分けによってあらわしている点で重要だと考えている。
24・26行目。それぞれ「一番大事な処理」「二番目に大事な処理」を左に進む場合で述べたが、右に進むの場合も当然重要である。
33・34・38～40行目。「三番目に大事な処理」を32行目で述べたが、これらの行も同じく二分探索木の巡回を再帰によって行うことを表しており、重要である。",とても理解できた。,「左と右」や「通りがけ順と行きがけ順」のように、重要な行の中に2つのものが並列で並んでいるような箇所があり、それらの順位付けの扱いをどうするのかが非常に難しいと感じました。
12/17/2022 21:49:32,8,4,19,新たな値の挿入において、二分木の性質を活用しているところだから。,11,11,,33,中間順巡回と先行順巡回の違いがこのprint関数の位置によく表れているから。二分木の挿入の方が、二分木の本質だと思ったので2番にした。,14,14,,38,2番目に重要だと思ったのと同じ理由。重要度は2番目と同じだと思った。,14,14,,,まあ理解できた。,
12/21/2022 11:40:17,4,4,19,二分探索木を作成・値を挿入するときに最も重要になる条件分岐だから。,8,8,,32,中間順巡回を行うために、どの引数を用いて再起的に関数を呼び出すかを決めているため。ただ、できている木を見ていくだけの処理。,5,5,,39,先行順巡回を行うために、再起的に関数を呼び出している部分だから。ただ、この木においては中間順の方が重要な意味を持つ。,5,5,,,とても理解できた。,
12/28/2022 13:19:47,5,4,19,二分探索木の挿入において、左右がどのように振り分けられるかを表している重要な部分だと思うから,8,8,,23,左右の振り分けのルールを理解することが大前提だが、その後に疑問となりうる、すでに子ノードに値が振り分けられていた場合、再帰的な処理を行うことが読み取れるコードになっているから。,5,5,,38,二分探索木の構築のほうが重要だと考えたが、出力における2種類の探索のうち、pre_orderのほうが直感的に捉えられると考え、出力部分を選んだ。,13,13,,"39,40: pre_orderの巡回において、どの部分で再帰関数を呼び出しているかも重要だと思うから",とても理解できた。,重要性の評価とは関係なく競プロのコードとしてみた時、キーに重複があったときに無限ループが発生するような気がして少し違和感がありました。AOJのこの問題はライブラリの検証のためあると思っているので、コードの汎用性を優先したほうが良いのではないかなと思ってしまいました
12/30/2022 17:12:28,10,4,19,insertするときに、左右で場合分けすることが重要であると思ったため。,8,8,,15,self.rootがNoneの時の場合分けも非常に重要だと思ったため。1番ではないのは比較的気付きやすいと感じたため。,8,8,,32,"再帰を使ったり、self.in_order(node.left)とprint("" "" + str(node.number), end="""")の順番に気をつけたりして、in_orderとpre_orderを実装することが重要だと感じたため。",14,14,,,あまり理解できなかった。,
1/3/2023 2:14:13,11,4,19,左の子には小さく，右の子には大きいという木の性質をつかって探索している行だから．,10,10,,1,木を作る上で大切な右と左の子をもつ要素を定義している箇所であるため．実際に探索している箇所の方が重要かなとおもったので2番目にしました．,14,14,,32,"nodeの情報を表現する方法としてinorder,preorderという概念があることは大事だと思います．一方で探索木をどう表そうとも載ってる情報の内容が変わるわけではないので3番目にしました．",14,14,,,とても理解できた。,
12/8/2022 21:41:14,1,5,19,初めに見つけたノードから優先して探索するというDFSのアルゴリズムを端的に表す部分だと考え，最も重要とした.,10,10,,20,再帰関数が閉じた後に操作を行うことで，隣接頂点を調べ終えた後に操作をすることを保証する部分であり，重要だと考えた．DFSの本質ではないが，発想も簡単ではないと感じるので，2番目とした．,14,14,,15,再帰関数が呼ばれた直後に操作を行うことで，ノードを訪れた直後に操作を行うことを表す部分であるため重要だと考えた．解答に直結しているものの，DFSの本質ではなく，また2番目に選んだ箇所よりも発想として容易だと考え，3番目とした．,14,14,,,とても理解できた。,
12/11/2022 0:47:43,3,5,29,dfsで解けるということがこの問題で一番コアな部分だと思うので。,2,2,,19,今回の問題のコアであるdfsで一番大事なのはここの再帰構造だと思うので。,5,5,,24,この問題特有の部分は、ただdfsを回すだけではなく一応全ての頂点についてチェックしなければいけないことだから。,10,10,,,とても理解できた。,
12/13/2022 21:42:52,7,5,19,深さ優先探索が再帰関数で実現可能であるということがここの一行で現れているから．,5,5,,20,"その頂点の探索終了時間は，そこに続く頂点の探索が全て終わった後にするため，for文を抜けた後に終了時刻を記録するという間違えやすい条件がここで現れているから．
1番でない理由としては，深さ優先探索自体のアルゴリズムの実現の方が重要であると考えたから．",3,3,,26,"未発見の頂点がある場合はそこを支点に深さ優先探索を始めていくことで，全ての点を網羅することができるということがこの一行で現れているから．
3番である理由はこのことは問題文でも指摘されていることだから．",10,10,,17: 一度現れた頂点は無視することで，ループに陥ってしまうことを防いでいる．,まあ理解できた。,
12/14/2022 14:10:29,6,5,19,深さ優先探索の実装の特徴である、再起的呼び出しを行っている部分だから。,5,5,,15,解答となるタイムスタンプを更新している部分だから。1 番ではないのは、比較的自明だと言えるから。,9,9,,20,解答となるタイムスタンプを更新している部分だから。実際 2 番と同程度に重要だと思う。,9,9,,,とても理解できた。,
12/15/2022 11:20:40,2,5,19,DFSは再帰関数を用いて実装することが多いが、その再帰関数を呼び出している部分であるから。,5,5,,14,この問題では入った・出た時刻を答える必要があり、その時刻を再帰関数を呼び出しても正しく動作するようにグローバル変数として宣言している部分であるから。,1,1,,5,グラフの隣接リスト表現を配列Gに作っている部分であるから。直接問題を解く部分ではないが、グラフの扱い方の知識としては重要であると考えた。,6,6,,,とても理解できた。,
12/15/2022 20:54:01,9,5,19,深さ優先探索の方法（今いる頂点と隣り合っている頂点の再帰呼び出し）を表しており、アルゴリズムの本質部分であるため、最も重要であると考えている。,5,5,,17,深さ優先探索で、一度訪れた頂点を訪れないようにする処理が書かれており、探索が終わらないことを防止する役割があるから。ただ、探索の方法のほうが重要であると考えているため、1番大事というわけではないと考えている。,7,7,,15,訪れた時間帯を記録する箇所であり、結果を出力する上では大事であるが、アルゴリズムの本質部分ではないから。,9,9,,20行目。15行目同様に、訪れた時間帯を記録しているため、15行目と同じく重要である。,とても理解できた。,
12/17/2022 22:04:00,8,5,18,深さ優先探索をしているということがよく読み取れる一文だから。,13,13,,19,1番と同じような理由だが、深さ優先探索で、１つ掘り下げるのが終わった時の処理を表していて、重要だから。1番と同じくらい重要だと思った。,14,14,,5,inputのデータを加工して使いやすい形のリストにしているから。データ処理の話なので、重要度は劣ると思った。,14,14,,,とても理解できた。,
12/21/2022 11:56:29,4,5,19,dfs_subという関数を再起的に呼び出すという、深さ優先探索の本質的な処理をしているため。,5,5,,15,発見時刻を表すリストを更新している部分だから。DFSの本質ではないがこの値は回答に必要。,9,9,,20,完了時刻を表すリストを更新している部分だから。どの部分でこの処理を行うかを考えるのは比較的簡単。,9,9,,,まあ理解できた。,
12/28/2022 15:11:51,5,5,19,自分自身を呼び出しており、再帰を利用したDFSであることが明確にわかるから,5,5,,5,DFSの問題なので再帰部分が最も大事だが、それが扱う隣接リストの構造が明確に分かる部分だから,14,14,,25,頂点で探索を打ち切ることが伝わるため、再帰・隣接リストの構造と合わせてDFSアルゴリズムの全体を理解できるようになるから,7,7,,"15,20 : 探索開始・終了時刻をどのタイミングで記録しているかがわかりやすいから",とても理解できた。,
12/30/2022 17:25:08,10,5,17,訪れたことがあるノードをはとばすことが重要であると思ったから。,10,10,,19,再帰を使っていることも、計算量的に重要だと思ったから。使わなくても、dfsはできるので1番ほど重要でないと思った。,4,4,,20,v  の隣接リストを調べ終えた完了時刻を記録していて、1番や2番ほどではないが、重要だと思ったため。,9,9,,,まあ理解できた。,
1/3/2023 5:06:13,11,5,19,再帰にすることでDFSを実装しているので自身を呼び出すところが重要だと思いました．,5,5,,20,"完了時刻を求めないといけないので，自身を呼び出した後で時間を計測している箇所を選びました．再帰がどういう操作になっているかを理解していないと，この場所に書けないと思いました．
完了時刻は必ずしも問題にならないので2番目です．",12,12,,17,"到達したところを管理しておかないと無限におわらなくなってしまうので，大切です．
DFSする上で注意するポイントという位置付けで，DFSそのものからは外れるかなと思ったので，3番目です．",7,7,,,とても理解できた。,
12/8/2022 21:48:32,1,6,7,初期化したDPテーブルを更新する箇所でありDPの考察の大部分を占めているとともに，ミスが起こりやすい箇所でもあるため重要だと考えた．,3,9,×,10,DPテーブルを構築している箇所であり，DPの本質部分の一つだと考え選択した．DPテーブルの更新を行う部分に比べると考察の必要は少なく，ミスも起こりにくいと考え2番目とした．,6,6,,12,"完成させたDPテーブルを用いて要求された答えを出力する部分であるため重要だと考えた．
DPテーブルの初期化，更新の方がより本質的かつ注意を要する部分だと考え，3番目とした．",2,14,×,,とても理解できた。,
12/11/2022 0:52:52,3,6,10,ナップサック問題は要はdpで解けることが一番大事だが、そのコアはここの遷移式なので。,9,9,,8,dpは状態を適切に管理することで全探索を効率化することだと考えられるが、9行目と合わせてここが全探索部分なので。,4,4,,9,dpは状態を適切に管理することで全探索を効率化することだと考えられるが、8行目と合わせてここが全探索部分なので。,4,4,,,とても理解できた。,
12/13/2022 22:22:39,7,6,10,dpを行うために一番重要となる，値を更新するための条件式が書かれているから．,8,8,,12,"dpの結果，最終的に求めたい答えはdp[N][W]に現れるということがこの行で現れているから．
1番目でない理由は，dpの更新アルゴリズムが分かればこのことは最終的に分かることであるから．",2,14,×,9,"容量Wに関するdpであることがこの行で確認できるから．
3番目である理由は，特に他のものに注目したdpでも可能であるため．",13,13,,,まあ理解できた。,
12/14/2022 14:16:56,6,6,10,動的計画法の根幹である、テーブルの更新を行っている部分だから。,9,9,,7,動的計画法の更新の初期条件が含まれているから。漸化式においては更新式の次に重要と言えるだろう。,6,6,,8,テーブルの更新順序を規定している行だから。1 番や 2 番の部分が決まれば自然に定まるので、それらより重要とは言えない。,14,14,,9。8 行目と同様に重要。,とても理解できた。,
12/15/2022 20:59:02,9,6,10,DPの遷移を表しており、DPの問題においては遷移が最も大事な箇所であると考えているから。,9,9,,7,DPの初期値を表しているから。DPの問題においては初期値が遷移の次に大切であるので、この順番である。,6,6,,12,DPテーブルの中で、答えが格納されている場所を表しているから。DPテーブルの中でこの場所に答えが格納されていることは、DPテーブルが正しく更新されたことが前提であるため、優先順位は前者二つに比べると低くなる。,2,14,×,,とても理解できた。,
